/meka/addressee-meka/scatter/Viewing_Person0_Meka/	gaze/addressee	/meka/dialogact/dialogActInformer/	/meka/eval/mouth/dialogact/	meka-addressee	/videorecorder/open/	mouth/addressee	start_time	/videorecorder/start/	/videorecorder/stop/	robot-speaking	/meka/addressee-meka/scatter/Person0_Mouth/	filename	/meka/eval/gaze/dialogact/	trial	annotation_modifier	/meka/eval/all/dialogact/	/meka/addressee-meka/scatter/Addressee/	date	/videorecorder/close/	/meka/rejected/dialogact/dialogActInformer/
No							500558				Stable	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf		2	shiftedAnnotationsExactly	ok	Other	2016-02-26_13-42-09		#<DIALOG-ACT {1011DA7343}>
Yes	y lightOff	#<DIALOG-ACT {100EB4CA83}>	lightOff	y			504822				Moving	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf	lightOff	2	shiftedAnnotationsExactly	lightOff	Meka	2016-02-26_13-42-09		
No							507351				Stable	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf		2	shiftedAnnotationsExactly	ok	Other	2016-02-26_13-42-09		#<DIALOG-ACT {1011DABBA3}>
Yes		#<DIALOG-ACT {100EB51753}>	ok				512188				Moving	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf	ok	2	shiftedAnnotationsExactly	ok	Meka	2016-02-26_13-42-09		
Yes	y callRequest	#<DIALOG-ACT {100EB561E3}>	callRequest	y			516212				Moving	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf	callRequest	2	shiftedAnnotationsExactly	callRequest	Meka	2016-02-26_13-42-09		
No			negation				518054				Moving	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf		2	shiftedAnnotationsExactly	negation	Other	2016-02-26_13-42-09		#<DIALOG-ACT {1011DB01C3}>
No			negation				519583				Moving	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf		2	shiftedAnnotationsExactly	negation	Other	2016-02-26_13-42-09		#<DIALOG-ACT {1011DB4D43}>
Yes		#<DIALOG-ACT {100EB5B113}>	confirmation				520941				Moving	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf	confirmation	2	shiftedAnnotationsExactly	confirmation	Meka	2016-02-26_13-42-09		
Yes							521631				Stable	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf	ok	2	shiftedAnnotationsExactly	ok	Other	2016-02-26_13-42-09		#<DIALOG-ACT {1011DB95F3}>
No							529211				Stable	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf		2	shiftedAnnotationsExactly	confirmation	Other	2016-02-26_13-42-09		#<DIALOG-ACT {1011DBDE83}>
No							530949				Stable	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf		2	shiftedAnnotationsExactly	negation	Other	2016-02-26_13-42-09		#<DIALOG-ACT {1011DC2C23}>
No							534059				Stable	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf		2	shiftedAnnotationsExactly	ok	Other	2016-02-26_13-42-09		#<DIALOG-ACT {1011DC74B3}>
No							534885				Stable	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf		2	shiftedAnnotationsExactly	ok	Other	2016-02-26_13-42-09		#<DIALOG-ACT {1011DCBAA3}>
Yes	y experimentsRequest	#<DIALOG-ACT {100EB5F953}>	experimentsRequest	y			538298				Moving	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf	experimentsRequest	2	shiftedAnnotationsExactly	experimentsRequest	Meka	2016-02-26_13-42-09		
Yes							540400				Stable	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf	negation	2	shiftedAnnotationsExactly	negation	Other	2016-02-26_13-42-09		#<DIALOG-ACT {1011DD00D3}>
No							543119				Stable	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf		2	shiftedAnnotationsExactly	ok	Other	2016-02-26_13-42-09		#<DIALOG-ACT {1011DD4C53}>
Yes							544671				Stable	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf	negation	2	shiftedAnnotationsExactly	negation	Other	2016-02-26_13-42-09		#<DIALOG-ACT {1011DD9753}>
No							546511				Stable	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf		2	shiftedAnnotationsExactly	ok	Other	2016-02-26_13-42-09		#<DIALOG-ACT {1011DDE003}>
No							550409				Stable	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf		2	shiftedAnnotationsExactly	negation	Other	2016-02-26_13-42-09		#<DIALOG-ACT {1011DE2B63}>
Yes	nameRequest nameRequest y timeRequest	#<DIALOG-ACT {100EB694B3}>	timeRequest	 y			552789				Moving	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf	timeRequest	2	shiftedAnnotationsExactly	nameRequest timeRequest	Meka	2016-02-26_13-42-09		
Yes	y			n		n	554788			y	Stable	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf	callRequest	2	shiftedAnnotationsExactly	callRequest	Other	2016-02-26_13-42-09		#<DIALOG-ACT {1011DE7973}>
Yes		#<DIALOG-ACT {100EB6E133}>	ok				557417				Moving	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf	ok	2	shiftedAnnotationsExactly	ok	Meka	2016-02-26_13-42-09		
Yes		#<DIALOG-ACT {100EB72B83}>	negation				560237				Moving	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf	negation	2	shiftedAnnotationsExactly	negation	Meka	2016-02-26_13-42-09		
Yes		#<DIALOG-ACT {100EB773C3}>	ok				562735				Moving	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf	ok	2	shiftedAnnotationsExactly	ok	Meka	2016-02-26_13-42-09		
